"Date","ACC.NS","ADANIPORT.NS","AMBUJACEM.NS","ASIANPAIN.NS","AXISBANK.NS","BANKBAROD.NS","BHEL.NS","BPCL.NS","BHARTIART.NS","BOSCHLTD.NS","CAIRN.NS","CIPLA.NS","COALINDIA.NS","DRREDDY.NS","GAIL.NS","GRASIM.NS","HCLTECH.NS","HDFCBANK.NS","HEROMOTOC.NS","HINDALCO.NS","HINDUNILVR.BO","HDFC.NS","ITC.NS","ICICIBANK.NS","IDEA.NS","INDUSINDBK.BO","INFY.NS","KOTAKBANK.NS","LT.NS","LUPIN.NS","M.M.NS","MARUTI.NS","NTPC.NS","ONGC.NS","POWERGRID.NS","PNB.NS","RELIANCE.NS","SBIN.NS","SUNPHARMA.NS","TCS.NS","TATAMTRDVR.BO","TATAPOWER.NS","TATASTEEL.NS","TECHM.NS","ULTRACEMC.NS","VEDL.BO","WIPRO.NS","YESBANK.NS","ZEEL.NS"
"2010-11-04",969.52,156.57,136.93,193.795,235.26,116.16,404.95,324.032,318.3,6275.03,272.4,341.33,268.33,1675.179,440.7838,2327.03,181.8451,446.83,1570.35,213.6675,271.44,688.292,162.3856,163.12,66.68,270.05,546.1274,242.8884,1355.3485,436.024,23.085032,1464.55,169.17,293.7933,91.65,141.22,1048.785,168.2536,216.1355,992.816,136.03,114.81052,546.4114,165.3802,1097.81,299.4104,397.879,351.61,141.92
"2010-11-08",994.06,156.76,147.6228,199.457,237.01,115.31,405.142,315.807,320.154,6283.99,274.88,340.31,259.58,1700.198,441.8532,2339.13,179.0207,436.77,1560.75,217.253,278.08,675.731,161.147,161.74,68.32,271.4,535.2572,243.7058,1348.2346,436.073,23.094064,1446.1,167.69,289.9828,88.8,140.27,1055.239,167.8469,221.2647,991.887,140.85,114.40375,556.6979,165.4014,1098.59,305.34683,392.823,351.14,141.133
"2010-11-09",999.41,157.59,148.6153,200.515,237.98,113.05,404.813,317.085,326.497,6233.78,275.71,341.33,255.89,1697.397,443.5017,2367.86,178.6676,448.57,1558.96,217.7248,290.04,675.033,163.1195,163.52,69.26,277.82,543.0486,243.9287,1355.9101,446.539,22.777954,1429.92,168.47,287.148,93.73,142.82,1052.107,160.3688,223.839,1013.199,136.89,113.52982,563.8192,166.4846,1123.06,306.4627,393.233,348.02,140.942
"2010-11-10",986.14,155.31,145.006,199.937,235.11,114.18,397.95,322.071,319.178,6220.25,277.08,334.26,253.34,1684.694,445.6849,2370.61,178.7338,448.07,1544.2,215.2244,285.67,674.94,162.3856,161.73,68.57,275.55,547.1036,240.9069,1350.0412,454.912,22.452814,1432.98,168.65,289.4246,92.1,140.94,1046.08,157.529,223.8824,1014.313,142.37,113.1069,560.3904,166.6498,1108.08,305.79318,397.697,348.49,140.823
"2010-11-11",970.72,150.94,145.5474,192.907,231.91,112.56,387.518,318.385,309.126,6194.44,274.22,323.68,257.86,1677.256,437.0412,2338.26,177.6967,440.12,1552.69,220.7441,281.08,662.611,160.8718,159.39,68.27,285.3,542.1342,242.071,1328.1661,465.037,22.507004,1428.42,167.21,282.9081,91.42,139.11,1024.915,155.635,224.4512,988.73,140.03,114.78158,554.8076,163.2925,1109.9,302.84729,390.5,336.82,140.87
"2010-11-12",961.37,147.49,143.0208,192.067,227.28,109.82,383.116,311.289,298.195,6101.04,274.63,321.53,251.26,1683.68,432.7194,2213.1,177.6085,432.93,1556.66,210.5066,274.26,666.286,159.4957,154.67,68.96,273.86,532.0541,236.8199,1298.1194,457.346,22.633447,1412.97,167,280.117,89.89,136.59,1007.784,148.326,223.8342,980.512,135.53,112.99201,533.6633,160.8629,1079.7,297.71428,387.357,327.7,137.005
"2010-11-15",948.46,147.2,140.0882,193.835,231.8,110.2,384.759,314.209,302.197,6077.72,273.23,335.38,248.95,1702.468,440.3383,2201.53,178.447,446.2,1564.55,211.403,275.35,660.843,160.6883,157.6,68.96,282.74,537.7689,238.9996,1300.9649,472.096,22.308307,1395.87,164.65,282.2099,91.38,137.47,1000.998,155.0249,222.3638,989.891,134.06,114.13315,543.598,159.8027,1075.2,304.76658,394.645,337.01,136.671
"2010-11-16",931.62,144.18,133.7267,193.46,223.79,108.68,374.175,309.159,305.905,6279.94,271.61,330.89,249.61,1692.132,436.7293,2169.85,173.1512,443.72,1550.64,199.9388,271.03,649.863,155.9177,154.91,68.91,272.71,527.2792,238.9996,1251.505,465.183,21.811562,1360.66,162.57,277.6909,90.43,136.07,978.031,150.9625,222.1276,974.012,129.51,110.45446,532.7841,152.7789,1052.89,302.08849,384.214,313.96,132.901
"2010-11-18",927.92,143.5,134.9449,193.013,217.22,107.3,371.441,314.912,317.128,6333.07,263.33,345.23,256.56,1707.733,435.8828,2185.67,173.6366,437.69,1632.42,209.6574,271.44,651.677,157.7525,150.03,69.76,264.64,533.136,238.9005,1271.976,479.836,22.335401,1389.51,163.22,275.2966,91.56,134.35,980.356,150.2005,220.6911,968.347,129.51,108.58149,548.1698,151.2884,1076.57,304.18633,381.162,304.46,137.1
"2010-11-19",907.7,141.13,131.4258,191.87,210.93,104.7,361.346,303.704,320.544,6293.38,257.82,334.36,261.78,1710.293,436.9967,2133.36,166.3769,430.82,1658.99,200.5993,271.67,647.025,156.8351,148,73.28,256.58,526.0106,228.7203,1278.3691,478.668,22.651511,1365.27,160,271.2929,92.01,132.58,945.525,146.5692,213.542,942.904,124.11,107.74415,532.828,150.0736,1074.17,296.06279,365.174,304.08,135.955
