"Date","ACC.NS","ADANIPORT.NS","AMBUJACEM.NS","ASIANPAIN.NS","AXISBANK.NS","BANKBAROD.NS","BHEL.NS","BPCL.NS","BHARTIART.NS","BOSCHLTD.NS","CAIRN.NS","CIPLA.NS","COALINDIA.NS","DRREDDY.NS","GAIL.NS","GRASIM.NS","HCLTECH.NS","HDFCBANK.NS","HEROMOTOC.NS","HINDALCO.NS","HINDUNILVR.BO","HDFC.NS","ITC.NS","ICICIBANK.NS","IDEA.NS","INDUSINDBK.BO","INFY.NS","KOTAKBANK.NS","LT.NS","LUPIN.NS","M.M.NS","MARUTI.NS","NTPC.NS","ONGC.NS","POWERGRID.NS","PNB.NS","RELIANCE.NS","SBIN.NS","SUNPHARMA.NS","TCS.NS","TATAMTRDVR.BO","TATAPOWER.NS","TATASTEEL.NS","TECHM.NS","ULTRACEMC.NS","VEDL.BO","WIPRO.NS","YESBANK.NS","ZEEL.NS"
"2010-12-01",958.12,139.91,129.215,209.488,205.66,100.25,372.644,280.585,350.164,6135.71,275.59,360.69,247.02,1606.303,458.6091,2258.95,201.3514,438.82,1696.24,233.0575,284.03,677.731,160.2296,147.54,68.96,256.25,611.0143,224.7325,1235.0963,469.711,22.895119,1381.01,174.34,276.5745,88.76,125.98,1004.795,137.795,233.7792,1082.426,123.06,112.13765,598.1953,155.1422,1061.11,293.16153,447.529,295.58,140.536
"2011-01-03",883.34,136.51,113.8301,187.569,189.22,97.21,355.781,261.237,311.322,5864.01,272.11,323.97,238.86,1569.016,421.3048,2199.7,218.325,382.89,1393.32,216.6869,246.61,584.681,149.1746,131.63,69.21,215.85,553.3245,190.848,1024.0862,410.759,20.949486,1217.08,164.26,252.8718,87.18,113.86,872.493,129.4888,212.52,1078.516,109.54,102.08187,562.4125,143.7787,981.4,291.01907,400.903,248.61,109.9
"2011-02-01",863.48,134.52,107.6225,174.703,185.62,97.35,320.909,235.859,323.326,5842.53,280.93,292.27,260.17,1493.427,381.5853,2174.53,196.8373,383.81,1250.07,189.9843,256.57,585.472,155.0461,125.09,57.07,211.94,531.9207,200.6566,953.4719,371.134,21.628195,1173.7,150.05,232.1749,89.82,109.48,915.154,128.9032,204.1561,1032.705,94.06,94.44877,533.8391,142.5188,910.93,234.15428,400.995,241.9,113.336
"2011-03-01",969.28,133.2,134.608,183.807,213.85,107.87,342.328,260.747,348.797,6533.2,290.66,313.73,275.1,1583.313,415.0875,2369.07,212.6306,438.72,1356.08,197.344,258.84,652.468,167.0645,143.82,66.88,254.56,575.2609,226.8131,1030.8257,405.648,22.000587,1226.11,170.59,250.1666,92.49,125.02,995.684,135.5114,213.3154,1101.212,108.88,109.64093,547.0708,149.3447,1107.35,259.23904,439.429,292.55,117.965
"2011-04-01",1003.78,140.81,144.4707,201.913,195.99,101.95,332.029,268.29,370.902,6472.87,289.09,301.88,302.13,1607.318,425.3305,2364.78,233.6726,429.31,1519.11,203.8546,259.39,657.679,176.4682,143.59,68.32,251.03,515.7964,213.0661,995.6588,429.209,21.683184,1280.03,161.05,264.3367,94.9,122.18,933.661,137.4373,224.5235,1084.236,106.62,107.11614,542.0155,151.6083,1065.9,279.94962,412.067,288.35,128.606
"2011-05-02",926.61,157.85,126.7087,228.023,195.36,96.59,322.495,269.76,365.144,6903.6,280.68,318.02,324.28,1560.902,397.9114,2220.43,230.8033,448.77,1647.7,186.2101,277.26,636.51,177.3856,139.94,68.07,254.85,508.9944,218.6888,1024.8632,457.492,26.19031,1195.03,148.63,241.3639,91.72,113.36,911.076,129.3144,230.1637,1076.33,97.75,101.15433,517.838,149.7087,1003.71,258.88199,408.498,284.24,130.849
"2011-06-01",857.34,158.34,122.0513,250.13,208.14,107.99,340.319,277.111,385.395,6742.51,258.19,322.9,311.9,1490.612,394.6909,2020.92,221.8141,487.22,1667.65,170.3584,311.73,666.542,188.9054,150.77,79.18,264.64,531.7979,237.4639,1138.0576,437.339,26.614523,1126.78,165.11,235.5242,99.39,124.99,860.012,135.3188,240.022,1109.014,84.82,107.43185,536.5206,159.747,910.05,254.95993,385.826,297.42,128.749
"2011-07-01",912.5,140.35,118.1245,246.117,215.88,108.65,305.309,280.35,426.725,6944.31,255.34,299.05,308.25,1543.302,412.4932,2117.49,218.2498,471.43,1585.83,158.9415,297.74,650.216,193.9318,142.8,93.56,263.81,507.2132,220.93,1076.7849,445.502,26.277746,1172.2,155.57,231.2302,95.4,128.97,792.484,131.9509,249.808,1067.603,103.53,105.21085,505.9386,171.388,1007.48,248.49896,359.679,296.09,127.536
"2011-08-01",922.66,148.71,123.1206,258.368,173.35,91.36,309.473,287.02,394.883,7062.94,231.11,275.25,297.33,1459.571,376.2009,2107.42,185.1851,460,1864.58,142.901,294.8,625.349,186.1596,120.38,99.16,239.35,428.1041,219.9124,1017.6384,440.849,23.619936,1070.37,149.56,227.0784,90.95,106.6,751.469,111.0733,236.985,981.218,81.11,95.32316,420.3596,146.3769,1051.41,213.70911,309.234,266.16,113.247
"2011-10-03",1089.87,160.3,143.4406,256.1,187.13,95.35,292.91,276.678,383.338,6796.83,247.05,290.03,263.86,1625.671,383.1776,2413.76,200.9009,474.52,1972.99,129.646,344.89,650.075,198.3996,128.25,93.8,279.37,537.6125,254.3637,893.8004,460.638,27.897287,1100.29,159.11,239.091,96.41,112.02,839.959,107.2748,246.6923,1050.615,101.49,91.65092,433.0978,132.055,1134.38,187.41339,338.707,299.57,118.091
