"Date","ACC.NS","ADANIPORT.NS","AMBUJACEM.NS","ASIANPAIN.NS","AXISBANK.NS","BANKBAROD.NS","BHEL.NS","BPCL.NS","BHARTIART.NS","BOSCHLTD.NS","CAIRN.NS","CIPLA.NS","COALINDIA.NS","DRREDDY.NS","GAIL.NS","GRASIM.NS","HCLTECH.NS","HDFCBANK.NS","HEROMOTOC.NS","HINDALCO.NS","HINDUNILVR.BO","HDFC.NS","ITC.NS","ICICIBANK.NS","IDEA.NS","INDUSINDBK.BO","INFY.NS","KOTAKBANK.NS","LT.NS","LUPIN.NS","M.M.NS","MARUTI.NS","NTPC.NS","ONGC.NS","POWERGRID.NS","PNB.NS","RELIANCE.NS","SBIN.NS","SUNPHARMA.NS","TCS.NS","TATAMTRDVR.BO","TATAPOWER.NS","TATASTEEL.NS","TECHM.NS","ULTRACEMC.NS","VEDL.BO","WIPRO.NS","YESBANK.NS","ZEEL.NS"
"2010-11-08",961.37,147.49,143.0208,192.067,227.28,109.82,383.116,311.289,298.195,6101.04,274.63,321.53,251.26,1683.68,432.7194,2213.1,177.6085,432.93,1556.66,210.5066,274.26,666.286,159.4957,154.67,68.96,273.86,532.0541,236.8199,1298.1194,457.346,22.633448,1412.97,167,280.117,89.89,136.59,1007.784,148.326,223.8342,980.512,135.53,112.99201,533.6633,160.8629,1079.7,297.71429,387.357,327.7,137.005
"2010-11-15",907.7,141.13,131.4258,191.87,210.93,104.7,361.346,303.704,320.544,6293.38,257.82,334.36,261.78,1710.293,436.9966,2133.36,166.3769,430.82,1658.99,200.5993,271.67,647.025,156.8351,148,73.28,256.58,526.0106,228.7203,1278.369,478.668,22.65151,1365.27,160,271.2929,92.01,132.58,945.525,146.5692,213.542,942.904,124.11,107.74415,532.8281,150.0736,1074.17,296.06277,365.174,304.08,135.955
"2010-11-22",893.45,137.24,125.2899,185.401,202.74,99.99,336.265,284.548,325.765,6188.94,243.49,331.72,245.42,1726.377,434.4125,2168.6,172.9967,429.75,1652.21,188.7577,266.85,637.347,153.8076,144.84,69.11,274.93,539.8987,228.3736,1208.8219,478.327,23.482428,1327.97,153.79,266.4296,87.09,118.71,913.351,140.2869,215.1232,972.479,120.23,105.95033,526.454,138.0024,1099.57,267.27332,371.232,290.19,135.001
"2010-11-29",874.16,142.83,124.6131,194.304,214.2,107.24,354.819,287.169,337.281,6183.53,267.59,361.13,252.68,1765.789,432.8976,2273.08,186.9865,448.04,1569.45,203.1941,272.3,646.978,157.1562,152.22,69.56,281.1,554.6202,240.6839,1261.3707,482.903,22.633448,1360.61,160.87,283.316,90.11,131.35,954.683,150.4798,214.4724,1019.003,131.28,105.96225,540.3011,147.7544,1086.8,271.11194,389.544,311.78,141.682
"2010-12-06",957.76,142.39,128.1322,193.911,201.62,98.39,366.887,290.088,323.033,5969.18,273.02,338.89,249.03,1746.856,438.9571,2236.24,190.5612,415.63,1523.17,203.1469,268.71,622.134,156.2388,143.93,69.16,250.99,558.0363,233.9219,1212.9403,441.33,23.021811,1372.9,167.17,283.8313,86.77,123.62,971.767,133.9016,216.4489,998.155,123.35,105.31381,544.2134,141.8014,1073.69,265.62183,410.815,277.53,138.341
"2010-12-13",957.76,143.8,124.5229,196.931,199.45,99.9,370.27,296.395,335.476,6086.68,272.61,349.23,251.69,1727.971,445.5512,2169.56,196.6734,411.59,1434.78,211.5917,267.75,640.651,153.9911,141.28,67.48,242.3,584.4898,228.8937,1234.9371,442.985,23.429037,1333.8,171.6,285.5377,86.77,124.95,1003.893,135.3963,217.3648,1061.393,128.6,106.54089,580.6116,147.8649,1042.27,262.9884,428.215,282.54,138.675
"2010-12-20",957.63,139.62,127.1396,210.147,201.38,99.7,366.59,286.572,340.209,6077.53,271.82,354.74,244.98,1626.589,457.8039,2202.83,200.8218,414.89,1647.14,226.0752,268.57,650.328,155.8718,144.07,69.61,241.81,598.1286,223.3949,1223.2087,443.131,22.768427,1351.77,172.25,277.9812,88.26,125.3,1005.744,135.0238,228.1631,1059.629,127.53,106.9519,591.5134,152.2824,1028.08,281.73502,440.423,290.99,132.567
"2010-12-27",958.12,139.91,129.215,209.488,205.66,100.25,372.644,280.585,350.164,6135.71,275.59,360.69,247.02,1606.303,458.6091,2258.95,201.3514,438.82,1696.24,233.0575,284.03,677.731,160.2296,147.54,68.96,256.25,611.0143,224.7325,1235.0963,469.711,22.895119,1381.01,174.34,276.5745,88.76,125.98,1004.795,137.795,233.7792,1082.426,123.06,112.13765,598.1953,155.1422,1061.11,293.16153,447.529,295.58,140.536
"2011-01-03",892.83,143.02,116.2665,201.996,195.08,94.91,367.255,262.92,330.352,6264.95,281.72,348.21,242.59,1615.77,469.1652,2305.23,205.3233,424.43,1603.84,220.1308,283.99,636.37,158.2571,135.18,66.88,223.38,598.2358,215.5926,1152.0981,461.192,21.094278,1302.27,171.21,258.8936,88.35,120.48,1011.154,127.4576,237.8286,1061.068,114.02,114.08379,581.3589,156.3129,966.67,296.01816,434.501,255.37,129.322
"2011-01-10",894.25,135.2,115.4995,198.369,183.04,92.47,351.98,253.076,335.476,6136.54,278.07,331.14,243.69,1595.291,435.4393,2369.79,207.6843,383.31,1548.55,217.0171,275.21,597.15,156.4681,130.03,67.13,220.72,568.6942,197.0155,1067.1063,447.318,20.886141,1233.45,162,253.1406,88.13,115.37,950.507,122.5498,228.8862,1040.175,113.04,111.89938,547.2906,149.676,998.92,291.46539,421.884,245.83,112.286
